Start Date,IMMU SS Equity,GLPG US Equity,VASTN NA Equity,EUCMF US Equity,GLPG NA Equity,ZEAL DC Equity,ECMPA NA Equity,WHA NA Equity
2016-06-08,22.1011,59.38,39.5,40.5333,50.66,119,40.1068,45.995
2016-06-09,22.2876,56.88,39.205,40.5333,50.25,123.5,39.6995,45.85
2016-06-10,21.6348,55.29,38.92,40.5333,49.14,121,39.0884,44.775
2016-06-13,21.8213,54.53,37.76,40.5333,47.91,115.5,38.4537,44
2016-06-14,21.2618,52.76,36.855,40.5333,46.83,108.5,37.2789,42.69
2016-06-15,21.355,53.61,36.78,40.5333,47.35,113,37.5158,42.66
2016-06-16,21.2618,52.26,36.1,40.5333,45.2,107.5,36.701,42.07
2016-06-17,21.4483,51.37,36.11,40.5333,45.09,108,35.9147,41.895
2016-06-20,21.355,53.06,37.6,40.5333,47,114.5,36.8384,43.29
2016-06-21,21.355,52.31,37.9,40.5333,46.4,114.5,37.1463,43.255
2016-06-22,21.0753,52.53,38,40.5333,46.245,114,37.3358,42.97
2016-06-23,21.4483,54.05,38.03,40.5333,47.285,121,37.4021,43.635
2016-06-24,21.4483,51.12,36.11,40.5333,46.395,116.5,35.0526,40.695
2016-06-27,20.236,50.24,35.28,40.5333,45.045,112,34.0816,39.18
2016-06-28,20.4225,52.59,35.86,40.5333,47.17,114,35.2042,39.785
2016-06-29,20.609,54.18,36.11,40.5333,48.555,118.5,36.701,40.33
2016-06-30,20.5157,55.47,36.505,40.5333,49.455,119.5,36.4263,40.75
2016-07-01,20.8888,54.86,36.08,40.5333,49.345,122.5,36.6016,41.16
2016-07-04,20.5157,54.86,36.525,40.5333,50.5,125.5,36.4831,40.73
2016-07-05,21.1685,54.62,35.225,40.5333,49.42,124.5,35.8389,39.11
2016-07-06,20.5157,54.18,34.7,40.5333,48.415,122,34.9816,38.935
2016-07-07,20.4225,54.95,35.65,40.5333,49.745,125.5,35.5452,39.885
2016-07-08,20.3292,55.23,36.25,40.5333,50.1,125,36.1847,41.485
2016-07-11,20.0495,55.18,36.23,40.5333,50.25,126.5,36.54,42.19
2016-07-12,20.0495,54.84,36.155,40.5333,49.495,126.5,36.4831,42.24
2016-07-13,20.0495,54.36,36.335,40.5333,49.185,126,36.2842,42.68
