Date,BA.L,CCH.L,ANTO.L,MGGT.L,RR.L,SSE.L,SMIN.L,SPX.L,PSN.L,AHT.L,ABF.L,VOD.L,RMV.L,SDR.L,PRU.L,SMT.L,ENT.L,ABDN.L,STJ.L
2016-02-17,371.7677001953125,1145.254150390625,383.7547302246094,325.7366638183594,206.76071166992188,936.14013671875,819.1306762695312,2739.084716796875,1129.710205078125,787.1281127929688,3021.421142578125,146.47125244140625,338.4160461425781,1950.44091796875,875.6056518554688,232.5042266845703,380.32183837890625,255.74671936035156,668.8470458984375
2016-02-18,376.0118103027344,1135.338623046875,382.8723449707031,326.0693359375,201.576416015625,945.6648559570312,817.0463256835938,2786.43603515625,1156.284912109375,780.7398071289062,2993.60791015625,145.2916717529297,333.8865661621094,1953.5765380859375,874.5532836914062,229.8912353515625,387.2367858886719,249.98635864257812,666.9869995117188
2016-02-19,376.38409423828125,1167.564208984375,385.4393005371094,314.177490234375,195.7822265625,948.385986328125,811.2102661132812,2766.403076171875,1165.897216796875,772.5262451171875,3017.713134765625,143.53915405273438,345.7186584472656,1928.49072265625,862.6259155273438,232.21493530273438,386.1890563964844,248.73086547851562,663.6390380859375
2016-02-22,379.7347106933594,1213.837158203125,415.1192932128906,321.07977294921875,200.8140411376953,966.0746459960938,821.2149658203125,2806.46923828125,1115.57470703125,802.1861572265625,3054.796875,145.3590545654297,343.6850280761719,1962.2001953125,879.4645385742188,238.1157684326172,392.6849060058594,249.32164001464844,668.8470458984375
2016-02-23,378.6177978515625,1204.7476806640625,398.3540954589844,356.50579833984375,202.33877563476562,940.9022827148438,811.2102661132812,2797.36328125,1147.23828125,799.4484252929688,3057.577880859375,144.17947387695312,348.39935302734375,1963.7677001953125,855.9606323242188,234.81825256347656,388.7035827636719,241.9365692138672,653.2232666015625
2016-02-24,374.89495849609375,1144.4278564453125,382.2306213378906,335.7158508300781,199.28927612304688,926.615234375,791.2010498046875,2777.32958984375,1173.2474365234375,789.4096069335938,3078.9013671875,142.12362670898438,349.04638671875,1938.681884765625,832.8078002929688,235.72459411621094,390.3799743652344,234.1822052001953,637.2274780273438
2016-02-25,381.5961608886719,1164.259033203125,383.113037109375,346.4434509277344,204.3209991455078,939.5418701171875,811.2102661132812,2782.793212890625,1208.303466796875,813.5938110351562,3124.3291015625,146.94308471679688,361.8952941894531,2004.5328369140625,865.08154296875,238.0000457763672,389.7513122558594,240.6810760498047,650.619140625
2016-02-26,381.2238464355469,1129.554443359375,388.56768798828125,342.119140625,207.06568908691406,944.984375,833.303955078125,2830.145263671875,1254.6680908203125,824.0888671875,3117.840087890625,147.5160369873047,348.584228515625,2069.599853515625,874.202392578125,243.33203125,409.02935791015625,245.7767791748047,647.271240234375
2016-02-29,381.9684753417969,1136.1649169921875,396.26849365234375,347.6076965332031,207.06568908691406,942.2630004882812,835.3882446289062,2863.8369140625,1234.8785400390625,843.2537841796875,3157.705078125,148.08895874023438,363.651611328125,2050.78466796875,882.2708129882812,241.07583618164062,409.86749267578125,246.2937469482422,638.3433837890625
2016-03-01,380.47930908203125,1148.5594482421875,393.3807373046875,348.4393005371094,208.2854461669922,949.0662841796875,837.8894653320312,2938.50634765625,1251.841064453125,768.8758544921875,3193.86181640625,150.04373168945312,376.1307067871094,2106.44482421875,917.0005493164062,248.49044799804688,418.45880126953125,249.98635864257812,636.4833984375
